student_id,student_name,department,current_year,section,attendance,CA_1_internal_marks,assignments,study_hours
SKP-IT-C01,Abhishek T,Information Technology,3,IT-C,89,83,86,5.6
SKP-IT-C02,Bhavani S,Information Technology,3,IT-C,93,89,91,6.1
SKP-IT-C03,Chandrasekar R,Information Technology,3,IT-C,75,69,72,3.4
SKP-IT-C04,Dhanalakshmi P,Information Technology,3,IT-C,96,92,94,6.7
SKP-IT-C05,Elango V,Information Technology,3,IT-C,44,38,41,1.4
SKP-IT-C06,Gayathri K,Information Technology,3,IT-C,83,77,80,4.8
SKP-IT-C07,Hariharan M,Information Technology,3,IT-C,69,63,66,3.1
SKP-IT-C08,Indumathi R,Information Technology,3,IT-C,91,86,89,5.9
SKP-IT-C09,Jaganathan S,Information Technology,3,IT-C,51,45,48,1.9
SKP-IT-C10,Kalaiarasi N,Information Technology,3,IT-C,88,82,85,5.5
SKP-IT-C11,Loganathan P,Information Technology,3,IT-C,74,68,71,3.7
SKP-IT-C12,Mahalakshmi V,Information Technology,3,IT-C,95,90,92,6.4
SKP-IT-C13,Naveen Kumar R,Information Technology,3,IT-C,47,41,44,1.6
SKP-IT-C14,Oviya S,Information Technology,3,IT-C,86,80,83,5.2
SKP-IT-C15,Periyasamy K,Information Technology,3,IT-C,71,65,68,3.3
SKP-IT-C16,Ramya Devi,Information Technology,3,IT-C,92,87,90,6.0
SKP-IT-C17,Sakthivel M,Information Technology,3,IT-C,54,48,51,2.0
SKP-IT-C18,Subha Lakshmi,Information Technology,3,IT-C,84,78,81,4.9
SKP-IT-C19,Thirumurugan P,Information Technology,3,IT-C,79,73,76,4.2
SKP-IT-C20,Vasuki R,Information Technology,3,IT-C,97,93,95,6.9
SKP-IT-C21,Abdul Rahman,Information Technology,3,IT-C,43,37,40,1.3
SKP-IT-C22,Baby Shalini,Information Technology,3,IT-C,90,85,88,5.8
SKP-IT-C23,Chinnasamy G,Information Technology,3,IT-C,67,61,64,2.9
SKP-IT-C24,Devika Rani,Information Technology,3,IT-C,94,89,92,6.3
SKP-IT-C25,Eswaran K,Information Technology,3,IT-C,49,43,46,1.7
SKP-IT-C26,Geetha M,Information Technology,3,IT-C,87,81,84,5.3
SKP-IT-C27,Ilamparithi S,Information Technology,3,IT-C,73,67,70,3.8
SKP-IT-C28,Jothi Lakshmi,Information Technology,3,IT-C,96,91,93,6.5
SKP-IT-C29,Kandasamy P,Information Technology,3,IT-C,40,34,37,1.2
SKP-IT-C30,Leelavathi N,Information Technology,3,IT-C,85,79,82,5.1
SKP-IT-C31,Muniyandi R,Information Technology,3,IT-C,70,64,67,3.2
SKP-IT-C32,Nagalakshmi S,Information Technology,3,IT-C,93,88,90,6.2
SKP-IT-C33,Oormila Devi,Information Technology,3,IT-C,46,40,43,1.5
SKP-IT-C34,Panneerselvam K,Information Technology,3,IT-C,88,83,86,5.7
SKP-IT-C35,Rajeshwari T,Information Technology,3,IT-C,76,70,73,4.0
SKP-IT-C36,Selvakumar M,Information Technology,3,IT-C,94,89,91,6.4
SKP-IT-C37,Thangamani P,Information Technology,3,IT-C,42,36,39,1.1
SKP-IT-C38,Usharani K,Information Technology,3,IT-C,82,76,79,4.7
SKP-IT-C39,Vadivelu S,Information Technology,3,IT-C,68,62,65,3.0
SKP-IT-C40,Yogeswari R,Information Technology,3,IT-C,95,90,93,6.6
SKP-IT-C41,Anand Kumar V,Information Technology,3,IT-C,52,46,49,2.1
SKP-IT-C42,Balasubramani L,Information Technology,3,IT-C,89,84,87,5.6
SKP-IT-C43,Catherine Mary,Information Technology,3,IT-C,72,66,69,3.5
SKP-IT-C44,Damodaran P,Information Technology,3,IT-C,91,86,89,5.9
SKP-IT-C45,Ezhumalai K,Information Technology,3,IT-C,48,42,45,1.8
SKP-IT-C46,Felicia Jeya,Information Technology,3,IT-C,86,80,83,5.2
SKP-IT-C47,Gunasekaran R,Information Technology,3,IT-C,66,60,63,2.8
SKP-IT-C48,Hemalatha S,Information Technology,3,IT-C,93,88,91,6.3
